Exposure uv,Old_3_vs_New_2
3,0.0354330708661417,0.0260054208482895
4,0.0180451127819548,0.0250766973456049
5,0.0148448043184885,0.0240312200465562
6,0.0243572395128552,0.0258631357505259

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,38.064516129032256,1054.645161290323
2,41.0,1123.4827586206898
3,32.774193548387096,440.35483870967744
4,22.166666666666668,499.8
5,23.90322580645161,471.1612903225807
6,24.633333333333333,538.7333333333333


Eff online rs,Old_3_vs_New_2
month,Old priority,New priority
1,28.032258064516128,82.6774193548387
2,30.17241379310345,93.3793103448276
3,26.032258064516128,137.83870967741936
4,22.33333333333333,166.76666666666668
5,26.06451612903226,159.4516129032258
6,27.966666666666665,165.2

R burn,Old_3_vs_New_2
month,Old priority,New priority
1,1252418.0,45586655.0
2,1246801.0,47021941.0
3,1088815.0,16101259.0
4,907642.0,20253716.0
5,502613.0,20377170.0
6,896748.0,20957952.0

P2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.05101357,0.04330672
2,0.04808285,0.04480321
3,0.04481562,0.04327758
4,0.04308015,0.04309199
5,0.05119394,0.04795365
6,0.0571706,0.05577148

Total p2c burn,Old_3_vs_New_2
month,Old priority,New priority
1,479916.0,11185890.0
2,486685.0,11757479.0
3,369438.0,4869986.0
4,247153.0,5391983.0
5,310032.0,5843123.0
6,380522.0,7401743.0

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,216.85546594982077,862.870017921147
2,234.42594827586203,976.7589655172414
3,203.66121863799285,1200.387553763441
4,171.71925000000002,1487.4562129629628
5,210.68955197132615,1435.7348745519712
6,216.31972222222225,1475.3029907407408

B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,273315.0,8334212.0
2,586821.0,6322604.0
3,202598.0,2380960.0
4,103816.0,3018360.0
5,83891.0,2881517.0
6,101627.0,3052243.0

B2c per order,Old_3_vs_New_2
month,Old priority,New priority
1,231.622881355932,254.915642013825
2,493.541631623213,194.058009269206
3,199.407480314961,174.416526261812
4,156.114285714286,201.304521808723
5,113.21322537112,197.283102834452
6,137.519621109608,188.853050365054

B2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.02905253,0.03226631
2,0.05797595,0.024093
3,0.02457667,0.02115862
4,0.01809571,0.02412232
5,0.01385248,0.02364818
6,0.0152687,0.02299838

R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,1061.371186440678,1394.3431516486205
2,1048.6131202691336,1443.231975691354
3,1071.6683070866145,1179.4930041755183
4,1364.8751879699248,1350.7880485527544
5,678.2901484480432,1395.1232370258797
6,1213.4614343707713,1296.7424823660438

Imperfect order rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0372881355932203,0.0217776962133724
2,0.0378469301934398,0.0222215401614437
3,0.0354330708661417,0.0260054208482895
4,0.0180451127819548,0.0250766973456049
5,0.0148448043184885,0.0240312200465562
6,0.0243572395128552,0.0258631357505259

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,38.064516129032256,1054.645161290323
2,41.0,1123.4827586206898
3,32.774193548387096,440.35483870967744
4,22.166666666666668,499.8
5,23.90322580645161,471.1612903225807
6,24.633333333333333,538.7333333333333


Eff online rs,Old_3_vs_New_2
month,Old priority,New priority
1,28,82
2,30,93
3,26,137
4,22,166
5,26,159
6,27,165

R burn,Old_3_vs_New_2
month,Old priority,New priority
1,1252418.0,45586655.0
2,1246801.0,47021941.0
3,1088815.0,16101259.0
4,907642.0,20253716.0
5,502613.0,20377170.0
6,896748.0,20957952.0

P2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.05101357,0.04330672
2,0.04808285,0.04480321
3,0.04481562,0.04327758
4,0.04308015,0.04309199
5,0.05119394,0.04795365
6,0.0571706,0.05577148

Total p2c burn,Old_3_vs_New_2
month,Old priority,New priority
1,479916.0,11185890.0
2,486685.0,11757479.0
3,369438.0,4869986.0
4,247153.0,5391983.0
5,310032.0,5843123.0
6,380522.0,7401743.0

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,216.85546594982077,862.870017921147
2,234.42594827586203,976.7589655172414
3,203.66121863799285,1200.387553763441
4,171.71925000000002,1487.4562129629628
5,210.68955197132615,1435.7348745519712
6,216.31972222222225,1475.3029907407408

B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,273315.0,8334212.0
2,586821.0,6322604.0
3,202598.0,2380960.0
4,103816.0,3018360.0
5,83891.0,2881517.0
6,101627.0,3052243.0

B2c per order,Old_3_vs_New_2
month,Old priority,New priority
1,231.622881355932,254.915642013825
2,493.541631623213,194.058009269206
3,199.407480314961,174.416526261812
4,156.114285714286,201.304521808723
5,113.21322537112,197.283102834452
6,137.519621109608,188.853050365054

B2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.02905253,0.03226631
2,0.05797595,0.024093
3,0.02457667,0.02115862
4,0.01809571,0.02412232
5,0.01385248,0.02364818
6,0.0152687,0.02299838

R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,1061.371186440678,1394.3431516486205
2,1048.6131202691336,1443.231975691354
3,1071.6683070866145,1179.4930041755183
4,1364.8751879699248,1350.7880485527544
5,678.2901484480432,1395.1232370258797
6,1213.4614343707713,1296.7424823660438

Imperfect order rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0372881355932203,0.0217776962133724
2,0.0378469301934398,0.0222215401614437
3,0.0354330708661417,0.0260054208482895
4,0.0180451127819548,0.0250766973456049
5,0.0148448043184885,0.0240312200465562
6,0.0243572395128552,0.0258631357505259

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,38.064516129032256,1054.645161290323
2,41.0,1123.4827586206898
3,32.774193548387096,440.35483870967744
4,22.166666666666668,499.8
5,23.90322580645161,471.1612903225807
6,24.633333333333333,538.7333333333333

