Exposure uv,Old_1_vs_New_Rs
5,35.483870967741936,35.483870967741936
6,32.766666666666666,32.766666666666666

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,1120378.0,1120378.0
2,1388526.0,1388526.0
3,1450444.0,1450444.0
4,732372.0,732372.0
5,1066337.0,1066337.0
6,1268614.0,1268614.0

P2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.05051398,0.05051398
2,0.05256655,0.05256655
3,0.04465035,0.04465035
4,0.05270309,0.05270309
5,0.05998694,0.05998694
6,0.0675785,0.0675785

Total p2c burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,344573.0,344573.0
2,439737.0,439737.0
3,550696.0,550696.0
4,527596.0,527596.0
5,870766.0,870766.0
6,1096517.0,1096517.0

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,264.71750000000003,264.71750000000003
2,325.06894636015323,325.0689463601533
3,371.3060035842294,371.30600358422936
4,333.89883333333336,333.89883333333336
5,275.1104659498208,275.1104659498208
6,257.6133888888889,257.6133888888889

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,331130.0,331130.0
2,799528.0,799528.0
3,1493681.0,1493681.0
4,1525902.0,1525902.0
5,2187115.0,2187115.0
6,2062535.0,2062535.0

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,399.433051869723,399.433051869723
2,925.37962962963,925.37962962963
3,1083.94847605225,1083.94847605225
4,1288.768581081081,1288.768581081081
5,1267.892753623188,1267.892753623188
6,1044.850557244174,1044.850557244174

B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.04854326,0.04854326
2,0.09557629,0.09557629
3,0.12110743,0.12110743
4,0.15242677,0.15242677
5,0.15067002,0.15067002
6,0.12711433,0.12711433

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,1351.481302774427,1351.481302774427
2,1607.0902777777778,1607.0902777777778
3,1052.5718432510885,1052.5718432510885
4,618.5574324324324,618.5574324324324
5,618.1663768115942,618.1663768115942
6,642.661600810537,642.661600810537

Imperfect order rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0554885404101326,0.0554885404101326
2,0.0381944444444444,0.0381944444444444
3,0.0283018867924528,0.0283018867924528
4,0.027027027027027,0.027027027027027
5,0.0284057971014492,0.0284057971014492
6,0.0329280648429584,0.0329280648429584

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,26.741935483870968,26.741935483870968
2,29.79310344827586,29.79310344827586
3,44.45161290322581,44.45161290322581
4,39.46666666666667,39.46666666666667
5,55.64516129032258,55.64516129032258
6,65.8,65.8


B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0502136752136752,0.0502136752136752
2,0.042149631190727,0.042149631190727
3,0.050437121721587,0.050437121721587
4,0.052466718872357,0.052466718872357
5,0.0496529631607047,0.0496529631607047
6,0.0539916935856022,0.0539916935856022

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.164246052,0.164246052
2,0.165985642,0.165985642
3,0.117601778,0.117601778
4,0.073158759,0.073158759
5,0.073459794,0.073459794
6,0.078184864,0.078184864

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,1796081.0,1796081.0
2,2627791.0,2627791.0
3,3494821.0,3494821.0
4,2785870.0,2785870.0
5,4124218.0,4124218.0
6,4427666.0,4427666.0

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,24.06451612903226,24.06451612903226
2,29.89655172413793,29.89655172413793
3,34.774193548387096,34.774193548387096
4,33.43333333333333,33.43333333333333
5,29.580645161290324,29.580645161290324
6,27.5,27.5

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,32,32
2,37,37
3,43,43
4,41,41
5,35,35
6,32,32

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,1120378.0,1120378.0
2,1388526.0,1388526.0
3,1450444.0,1450444.0
4,732372.0,732372.0
5,1066337.0,1066337.0
6,1268614.0,1268614.0

P2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.05051398,0.05051398
2,0.05256655,0.05256655
3,0.04465035,0.04465035
4,0.05270309,0.05270309
5,0.05998694,0.05998694
6,0.0675785,0.0675785

Total p2c burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,344573.0,344573.0
2,439737.0,439737.0
3,550696.0,550696.0
4,527596.0,527596.0
5,870766.0,870766.0
6,1096517.0,1096517.0

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,264.71750000000003,264.71750000000003
2,325.06894636015323,325.0689463601533
3,371.3060035842294,371.30600358422936
4,333.89883333333336,333.89883333333336
5,275.1104659498208,275.1104659498208
6,257.6133888888889,257.6133888888889

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,331130.0,331130.0
2,799528.0,799528.0
3,1493681.0,1493681.0
4,1525902.0,1525902.0
5,2187115.0,2187115.0
6,2062535.0,2062535.0

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,399.433051869723,399.433051869723
2,925.37962962963,925.37962962963
3,1083.94847605225,1083.94847605225
4,1288.768581081081,1288.768581081081
5,1267.892753623188,1267.892753623188
6,1044.850557244174,1044.850557244174

B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.04854326,0.04854326
2,0.09557629,0.09557629
3,0.12110743,0.12110743
4,0.15242677,0.15242677
5,0.15067002,0.15067002
6,0.12711433,0.12711433

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,1351.481302774427,1351.481302774427
2,1607.0902777777778,1607.0902777777778
3,1052.5718432510885,1052.5718432510885
4,618.5574324324324,618.5574324324324
5,618.1663768115942,618.1663768115942
6,642.661600810537,642.661600810537

Imperfect order rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0554885404101326,0.0554885404101326
2,0.0381944444444444,0.0381944444444444
3,0.0283018867924528,0.0283018867924528
4,0.027027027027027,0.027027027027027
5,0.0284057971014492,0.0284057971014492
6,0.0329280648429584,0.0329280648429584

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,26.741935483870968,26.741935483870968
2,29.79310344827586,29.79310344827586
3,44.45161290322581,44.45161290322581
4,39.46666666666667,39.46666666666667
5,55.64516129032258,55.64516129032258
6,65.8,65.8

